"Activo","Fecha","Activo Tot| en moneda orig| en miles| consolid:si*|AENZAC1","Activo Tot| en moneda orig| en miles| consolid:si*|DESXXIC1","Activo Tot| en moneda orig| en miles| consolid:si*|RVIA5BC1","PasCor| en moneda orig| en miles| consolid:si*|AENZAC1","PasCor| en moneda orig| en miles| consolid:si*|DESXXIC1","PasCor| en moneda orig| en miles| consolid:si*|RVIA5BC1","ActCor| en moneda orig| en miles| consolid:si*","PrPlEq| en moneda orig| en miles| consolid:si*|AENZAC1","PrPlEq| en moneda orig| en miles| consolid:si*|DESXXIC1","PrPlEq| en moneda orig| en miles| consolid:si*|RVIA5BC1","IngrNet| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","IngrNet| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","IngrNet| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1","Cierre|ajust p/var cap|en moneda orig|AENZAC1","Cierre|ajust p/var cap|en moneda orig|DESXXIC1","Cierre|ajust p/var cap|en moneda orig|RVIA5BC1","Volumen$|en moneda orig|en miles|AENZAC1","Volumen$|en moneda orig|en miles|DESXXIC1","Volumen$|en moneda orig|en miles|RVIA5BC1","Result Bruto| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","Result Bruto| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","Result Bruto| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1","EBITDA| en moneda orig| en miles| de 12 meses| consolid:si*|AENZAC1","EBITDA| en moneda orig| en miles| de 12 meses| consolid:si*|DESXXIC1","EBITDA| en moneda orig| en miles| de 12 meses| consolid:si*|RVIA5BC1","CicOpe| de 12 meses| consolid:si*|AENZAC1","CicOpe| de 12 meses| consolid:si*|DESXXIC1","CicOpe| de 12 meses| consolid:si*|RVIA5BC1","CapTrb| en moneda orig| en miles| consolid:si*|AENZAC1","CapTrb| en moneda orig| en miles| consolid:si*|DESXXIC1","CapTrb| en moneda orig| en miles| consolid:si*|RVIA5BC1","GasAdm| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","GasAdm| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","GasAdm| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1","CstVen| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","CstVen| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","CstVen| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1","PPProv| de 12 meses| consolid:si*|AENZAC1","PPProv| de 12 meses| consolid:si*|DESXXIC1","PPProv| de 12 meses| consolid:si*|RVIA5BC1","Inventario| en moneda orig| en miles| consolid:si*|AENZAC1","Inventario| en moneda orig| en miles| consolid:si*|DESXXIC1","Inventario| en moneda orig| en miles| consolid:si*|RVIA5BC1","PasTot| en moneda orig| en miles| consolid:si*|AENZAC1","PasTot| en moneda orig| en miles| consolid:si*|DESXXIC1","PasTot| en moneda orig| en miles| consolid:si*|RVIA5BC1","CueCobCP| en moneda orig| en miles| consolid:si*|AENZAC1","CueCobCP| en moneda orig| en miles| consolid:si*|DESXXIC1","CueCobCP| en moneda orig| en miles| consolid:si*|RVIA5BC1","Cue Pag LP| en moneda orig| en miles| consolid:si*|AENZAC1","Cue Pag LP| en moneda orig| en miles| consolid:si*|DESXXIC1","Cue Pag LP| en moneda orig| en miles| consolid:si*|RVIA5BC1","Ganancia Neta| en moneda orig| en miles| en el ejercicio| consolid:si*|AENZAC1","Ganancia Neta| en moneda orig| en miles| en el ejercicio| consolid:si*|DESXXIC1","Ganancia Neta| en moneda orig| en miles| en el ejercicio| consolid:si*|RVIA5BC1"
"DESXXIC1<XLIM>","4T2006",929877,124224,"-",344538,23393,"-",35184,271941,94,"-",1187113,5269,"-",1.4669914951,"-","-",55337.84011,"-","-",272842,1257,"-",276685,-1840,"-",72.82062425,2952.7364159,"-",132597,11791,"-",59722,2532,"-",914271,4012,"-",66.534977047,44.596211366,"-",39677,31884,"-",563698,26564,"-",188611,1343,"-",0,0,"-",112708,-504,"-"
"DESXXIC1<XLIM>","1T2007",958029,123815,"-",388641,23103,"-",34791,285595,87,"-",272507,569,"-",2.2738368175,"-","-",60984.92731,"-","-",68492,234,"-",291976,-1767,"-",69.646873575,3306.6641464,"-",86190,11688,"-",16834,242,"-",204015,335,"-",67.726715225,44.873096447,"-",52596,31712,"-",582280,26149,"-",159323,1125,"-",0,0,"-",32142,6,"-"
"DESXXIC1<XLIM>","2T2007",988747,123906,"-",369503,23026,"-",34901,292673,79,"-",618472,1508,"-",3.4115548248,"-","-",148718.73271,"-","-",135398,716,"-",280126,-1568,"-",75.959916622,3985.5616718,"-",118067,11875,"-",37682,424,"-",483074,792,"-",66.715208807,57.614678899,"-",55404,31452,"-",583565,25883,"-",192026,1555,"-",0,0,"-",61685,364,"-"
"DESXXIC1<XLIM>","3T2007",1040063,122851,"-",398014,21414,"-",33915,301797,72,"-",1005083,3976,"-",2.9315843529,"-","-",63553.86304,"-","-",204252,1890,"-",269571,-385,"-",76.288468613,2799.1402749,"-",123612,12501,"-",58235,645,"-",800831,2086,"-",65.525093676,42.37388724,"-",52847,30349,"-",606493,23491,"-",212283,1668,"-",0,0,"-",92707,1701,"-"
"DESXXIC1<XLIM>","4T2007",1157518,"-","-",442405,"-","-","-",326554,"-","-",1449654,"-","-",2.8233557171,"-","-",59832.17721,"-","-",300220,"-","-",294833,"-","-",87.723675191,"-","-",156833,"-","-",78877,"-","-",1149434,"-","-",62.641404378,"-","-",79196,"-","-",676137,"-","-",253366,"-","-",0,"-","-",138447,"-","-"
"DESXXIC1<XLIM>","1T2008",1167593,"-","-",417621,"-","-","-",371373,"-","-",357077,"-","-",2.89393961,"-","-",40766.44109,"-","-",70277,"-","-",300919,"-","-",72.999639741,"-","-",140683,"-","-",22917,"-","-",286800,"-","-",50.34809559,"-","-",81982,"-","-",656521,"-","-",209030,"-","-",0,"-","-",52380,"-","-"
"DESXXIC1<XLIM>","2T2008",1319506,"-","-",513973,"-","-","-",406171,"-","-",793003,"-","-",3.3461696542,"-","-",35176.11537,"-","-",178582,"-","-",345012,"-","-",89.596513891,"-","-",140237,"-","-",48266,"-","-",614421,"-","-",63.804819091,"-","-",109853,"-","-",770141,"-","-",264919,"-","-",0,"-","-",85055,"-","-"
"DESXXIC1<XLIM>","3T2008",1520649,"-","-",630831,"-","-","-",436182,"-","-",1293801,"-","-",2.2493696009,"-","-",26259.47739,"-","-",302039,"-","-",393392,"-","-",118.51344431,"-","-",182476,"-","-",75837,"-","-",991762,"-","-",61.355227867,"-","-",153742,"-","-",927044,"-","-",372885,"-","-",0,"-","-",132652,"-","-"
"DESXXIC1<XLIM>","4T2008",1622964,"-",219793,691100,"-",19210,"-",440965,"-",1039,1827711,"-",62192,1.2393220942,"-","-",135406.01806,"-","-",400163,"-",32502,379507,"-",41136,125.4082191,"-",0,207870,"-",17198,104554,"-",3559,1427548,"-",29690,51.28345947,"-",4.63186258,158623,"-",0,1012799,"-",121253,433607,"-",0,0,"-",0,153382,"-",15775
"DESXXIC1<XLIM>","1T2009",1656738,"-",215248,734882,"-",20976,"-",425187,"-",979,399677,"-",15494,1.1773559894,"-","-",28417.30467,"-","-",57606,"-",6613,378607,"-","-",116.00050499,"-","-",214853,"-",16318,22314,"-",924,342071,"-",8881,52.143734333,"-","-",182149,"-",0,1051895,"-",120294,372910,"-",2485,0,"-",0,24410,"-",624
"DESXXIC1<XLIM>","2T2009",1938955,"-",221743,846473,"-",30809,"-",425071,"-",1182,921002,"-",30481,1.4870122153,"-",0.94898811643,121315.91218,"-",35152.722,152151,"-",12825,372039,"-","-",129.69184345,"-","-",237608,"-",11173,52732,"-",2187,768851,"-",17656,64.52486697,"-","-",206590,"-",0,1242300,"-",122332,449159,"-",2485,0,"-",0,61300,"-",5081
"DESXXIC1<XLIM>","3T2009",1933622,"-",204317,794195,"-",15701,"-",422688,"-",1206,1462455,"-",46554,1.9362797357,"-","-",46590.63331,"-","-",230027,"-",20250,336524,"-","-",125.50468924,"-","-",283718,"-",11883,77355,"-",3249,1232428,"-",26304,61.933421012,"-","-",220647,"-",0,1168122,"-",99877,431931,"-",3,0,"-",0,111022,"-",10110
"DESXXIC1<XLIM>","4T2009",2248192,"-",183635,1006116,"-",16882,"-",424541,"-",1140,2000449,"-",63539,1.79074237,"-","-",31357.38085,"-","-",330357,"-",27129,374975,"-",46003,131.02256632,"-",19.190103716,349600,"-",-3775,105466,"-",4337,1670092,"-",36410,93.13743195,"-",12.893161219,277348,"-",0,1399949,"-",97852,395857,"-",3387,0,"-",0,151372,"-",12478
"DESXXIC1<XLIM>","1T2010",2220650,"-",183074,1024817,"-",16550,"-",440534,"-",1087,539475,"-",16557,2.3412532752,"-","-",74422.22261,"-","-",86232,"-",7233,394853,"-",46864,121.15584467,"-",27.718027306,278922,"-",-1513,29964,"-",966,453243,"-",9324,110.09921044,"-",10.491411825,302280,"-",0,1338826,"-",92772,357088,"-",4974,0,"-",0,31900,"-",4519
"DESXXIC1<XLIM>","2T2010",2292307,"-",187172,1032361,"-",19210,"-",477746,"-",1042,1152392,"-",33337,2.8182866697,"-","-",107825.7752,"-","-",205446,"-",14875,420480,"-",49203,121.40322828,"-",8.9627230966,301791,"-",-5626,58666,"-",1688,946946,"-",18462,105.71670507,"-",32.192605331,282705,"-",0,1390994,"-",92486,411256,"-",1653,0,"-",0,83691,"-",8903
"DESXXIC1<XLIM>","3T2010",2380221,"-",180236,1083702,"-",18835,"-",402718,"-",991,1824752,"-",51751,3.5869103069,"-","-",90668.26917,"-","-",319234,"-",24372,520449,"-",51372,126.16224531,"-",3.4462290503,460107,"-",-6544,84135,"-",2468,1505518,"-",27379,113.05831363,"-",28.773109244,328095,"-",0,1391205,"-",88591,429090,"-",658,0,"-",0,195180,"-",14936
"DESXXIC1<XLIM>","4T2010",2605825,"-",175731,1179977,"-",17533,"-",450220,"-",958,2584852,"-",70951,4.2594559895,"-","-",164387.23302,"-","-",455712,"-",34999,551464,"-","-",114.01939686,"-",0.11670025792,530962,"-",-6713,117233,"-",3268,2129140,"-",34138,132.46841448,"-",12.549065557,350758,"-",0,1537183,"-",85287,392843,"-",23,0,"-",0,272844,"-",20886
"DESXXIC1<XLIM>","1T2011",3214855,"-",181543,1466378,"-",20005,"-",572277,"-",1005,822120,"-",19076,3.9776273225,"-","-",239858.3795,"-","-",161993,"-",9898,616621,"-","-",162.56623763,"-",0.17149857084,658753,"-",-5757,47256,"-",914,660127,"-",9178,75.415526553,"-",5.1259119793,502813,"-",0,2008029,"-",84885,677675,"-",35,0,"-",0,67855,"-",6214
"DESXXIC1<XLIM>","2T2011",3344232,"-",183577,1572567,"-",19694,"-",592347,"-",1091,2052721,"-",38117,3.4169946713,"-","-",165497.68109,"-","-",330804,"-",20195,665210,"-","-",149.03623542,"-",0.0047536675866,703028,"-",-4040,89456,"-",1631,1721917,"-",17922,96.472593506,"-",4.6931364962,540142,"-",0,2083926,"-",80579,794612,"-",1,0,"-",0,143409,"-",12554
"DESXXIC1<XLIM>","3T2011",3375076,"-",178539,1652555,"-",17463,"-",636509,"-",1113,3117297,"-",58156,3.5539352974,"-","-",141799.36943,"-","-",509326,"-",31088,661672,"-","-",130.31535905,"-",0.013961425099,602839,"-",-5689,139164,"-",2299,2607971,"-",27068,78.60930507,"-",28.351316995,535490,"-",0,2086772,"-",76112,761065,"-",3,0,"-",0,212735,"-",19273
